complaint,department,category,subcategory,severity,priority,urgency
There is a huge pothole near the college entrance and vehicles are almost falling.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
There is a huge pothole near the college entrance and vehicles are almost falling. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
There is a huge pothole near the college entrance and vehicles are almost falling. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
There is a huge pothole near the college entrance and vehicles are almost falling. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
There is a huge pothole near the college entrance and vehicles are almost falling. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
There is a huge pothole near the college entrance and vehicles are almost falling. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
There is a huge pothole near the college entrance and vehicles are almost falling. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Large pothole causing accidents on the main highway junction.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Large pothole causing accidents on the main highway junction. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Large pothole causing accidents on the main highway junction. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Large pothole causing accidents on the main highway junction. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Large pothole causing accidents on the main highway junction. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Large pothole causing accidents on the main highway junction. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Large pothole causing accidents on the main highway junction. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Massive crater on arterial road damaged three car axles this morning.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Massive crater on arterial road damaged three car axles this morning. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Massive crater on arterial road damaged three car axles this morning. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Massive crater on arterial road damaged three car axles this morning. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Massive crater on arterial road damaged three car axles this morning. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Massive crater on arterial road damaged three car axles this morning. This has been continuing for the past 3 days.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
Massive crater on arterial road damaged three car axles this morning. This has been continuing since yesterday morning.,Roads & Infrastructure,Infrastructure,Pothole,HIGH,HIGH,WITHIN 24 HOURS
"Bridge expansion joint has cracked open and concrete is crumbling, posing collapse hazard.",Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
"Bridge expansion joint has cracked open and concrete is crumbling, posing collapse hazard. It is located near Government High School.",Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
"Bridge expansion joint has cracked open and concrete is crumbling, posing collapse hazard. It is located on MG Road near the railway station.",Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
"Bridge expansion joint has cracked open and concrete is crumbling, posing collapse hazard. It is located opposite City Hospital main gate.",Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
"Bridge expansion joint has cracked open and concrete is crumbling, posing collapse hazard. It is located at Sector 4 residential colony.",Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
"Bridge expansion joint has cracked open and concrete is crumbling, posing collapse hazard. This has been continuing for the past 3 days.",Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
"Bridge expansion joint has cracked open and concrete is crumbling, posing collapse hazard. This has been continuing since yesterday morning.",Roads & Infrastructure,Infrastructure,Road Damage,CRITICAL,URGENT,IMMEDIATE
Asphalt is completely washed away following monsoon rain leaving sharp stone surface.,Roads & Infrastructure,Infrastructure,Road Damage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Asphalt is completely washed away following monsoon rain leaving sharp stone surface. It is located near Government High School.,Roads & Infrastructure,Infrastructure,Road Damage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Asphalt is completely washed away following monsoon rain leaving sharp stone surface. It is located on MG Road near the railway station.,Roads & Infrastructure,Infrastructure,Road Damage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Asphalt is completely washed away following monsoon rain leaving sharp stone surface. It is located opposite City Hospital main gate.,Roads & Infrastructure,Infrastructure,Road Damage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Asphalt is completely washed away following monsoon rain leaving sharp stone surface. It is located at Sector 4 residential colony.,Roads & Infrastructure,Infrastructure,Road Damage,MEDIUM,MEDIUM,WITHIN 3 DAYS
