complaint,department,category,subcategory,severity,priority,urgency
"Ameerpet Center లోని అపార్ట్‌మెంట్‌లో పెద్ద ఎత్తున మంటలు చెలరేగాయి, ప్రజలు చిక్కుకుపోయారు సహాయం కావాలి.",Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
High voltage 11kV live electrical wire snapped and lying sparking on flooded road near Secunderabad Railway Station.,Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
ట్రాఫిక్ సిగ్నల్ పనిచేయడం లేదు Ameerpet Center చౌరస్తాలో నిత్యం ప్రమాదాలు జరుగుతున్నాయి. Situation is deteriorating quickly.,Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Tarnaka Tarnaka signal.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
Main road divider broken and sharp metal protruding into traffic lane near Kukatpally Housing Board.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
Dilapidated 3-story residential building structural crack with falling wall debris at MG Road Metro Station. Danger to public health and safety.,Fire & Emergency Services,Fire & Disaster,Building Collapse Threat,CRITICAL,CRITICAL,IMMEDIATE
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది Uppal Ring Road లో, ప్రజలు రోగాల బారిన పడుతున్నారు. Please send inspection team immediately.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Charminar Main Bazaar మే ఖులా బోర్వెల్ గడ్డా బచ్చో కే ఖేల్నే కి జగహ్ పర్ హై తురంత్ బంద్ కియా జాయే. Pedestrians and daily commuters are suffering badly.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
High voltage 11kV live electrical wire snapped and lying sparking on flooded road near Gachibowli Flyover.,Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
Banjara Hills Road No 12 మే ఖులా బోర్వెల్ గడ్డా బచ్చో కే ఖేల్నే కి జగహ్ పర్ హై తురంత్ బంద్ కియా జాయే.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
Ameerpet Center కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Exposed electric meter junction box with bare sparking wires near park in Nagole X Roads.,Electricity & Power,Power Infrastructure,Exposed Meter Box,HIGH,HIGH,WITHIN 24 HOURS
"Dangerous crater-sized road collapse on flyover near Uppal Ring Road, vehicles at extreme risk of falling. Danger to public health and safety.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
Main road divider broken and sharp metal protruding into traffic lane near Alwal Main Road.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
"Nagole X Roads లోని అపార్ట్‌మెంట్‌లో పెద్ద ఎత్తున మంటలు చెలరేగాయి, ప్రజలు చిక్కుకుపోయారు సహాయం కావాలి. Pedestrians and daily commuters are suffering badly.",Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
Commercial LPG gas cylinder warehouse leakage with heavy gas smell spreading in Kukatpally Housing Board. Please send inspection team immediately.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
Unsafe deep construction basement excavated without safety barricade or warning lights near Secunderabad Railway Station. Situation is deteriorating quickly.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది Ameerpet Center లో, ప్రజలు రోగాల బారిన పడుతున్నారు.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Stagnant black drainage puddle breeding swarms of dengue mosquitoes near Begumpet Airport Road.,Public Health & Sanitation,Sanitation & Hygiene,Mosquito Breeding,MEDIUM,MEDIUM,WITHIN 7 DAYS
Exposed electric meter junction box with bare sparking wires near park in Kukatpally Housing Board. Situation is deteriorating quickly.,Electricity & Power,Power Infrastructure,Exposed Meter Box,HIGH,HIGH,WITHIN 24 HOURS
Dilapidated 3-story residential building structural crack with falling wall debris at Charminar Main Bazaar. This has become an urgent public hazard.,Fire & Emergency Services,Fire & Disaster,Building Collapse Threat,CRITICAL,CRITICAL,IMMEDIATE
"No municipal water supply for the past 5 days in Uppal Ring Road, residents facing severe crisis.",Water Supply & Sewerage,Water & Drainage,Water Shortage,HIGH,HIGH,WITHIN 24 HOURS
"Alwal Main Road లోని అపార్ట్‌మెంట్‌లో పెద్ద ఎత్తున మంటలు చెలరేగాయి, ప్రజలు చిక్కుకుపోయారు సహాయం కావాలి.",Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
"Streetlights not working for 2 weeks in RTC Cross Roads, complete dark stretch unsafe for women.",Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,HIGH,WITHIN 3 DAYS
"Dangerous crater-sized road collapse on flyover near Banjara Hills Road No 12, vehicles at extreme risk of falling. Situation is deteriorating quickly.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
Low water pressure in municipal pipeline near Mehdipatnam Bus Stop. Pedestrians and daily commuters are suffering badly.,Water Supply & Sewerage,Water & Drainage,Low Pressure,LOW,LOW,ROUTINE
Low water pressure in municipal pipeline near Koti Women's College.,Water Supply & Sewerage,Water & Drainage,Low Pressure,LOW,LOW,ROUTINE
Uppal Ring Road కే పాస్ ఎల్‌పీజీ సిలిండర్ గోదామ్ సే గ్యాస్ లీకేజ్ హో రహా హై భయంకర పరిస్థితి.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
"Drinking water pipe burst near Secunderabad Railway Station, thousands of liters of clean water flooding road. Kindly take strict and swift civic action.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
ట్రాఫిక్ సిగ్నల్ పనిచేయడం లేదు Mehdipatnam Bus Stop చౌరస్తాలో నిత్యం ప్రమాదాలు జరుగుతున్నాయి. Danger to public health and safety.,Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
